ean,product_id,manufacturer,article_type,provider,rim_width,rim_diameter,rim_offset,rim_color,rim_load_index,rim_speed_index
1000000019926,382773,Avus Racing,Felge,provider 17,,,,,,
1000000019933,382779,Avus Racing,Felge,provider 17,,,,,,
1000000019940,382785,Avus Racing,Felge,provider 17,,,,,,
1000000020083,382807,Avus Racing,Felge,provider 17,,,,,,
1000000020106,382228,Avus Racing,Felge,provider 17,,,,,,
1000000020137,382433,Avus Racing,Felge,provider 17,,,,,,
1000000020144,382434,Avus Racing,Felge,provider 17,,,,,,
1000000020175,382432,Avus Racing,Felge,provider 17,,,,,,
1000000020205,382459,Avus Racing,Felge,provider 17,,,,,,
1000000020359,382823,Avus Racing,Felge,provider 17,,,,,,
1000000020373,382815,Avus Racing,Felge,provider 17,,,,,,
1000000020397,382817,Avus Racing,Felge,provider 17,,,,,,
1000000020410,382827,Avus Racing,Felge,provider 17,,,,,,
1000000020427,382828,Avus Racing,Felge,provider 17,,,,,,
1000000020434,382829,Avus Racing,Felge,provider 17,,,,,,
1000000020458,382475,Avus Racing,Felge,provider 17,,,,,,
1000000020465,382749,Avus Racing,Felge,provider 17,,,,,,
1000000020502,382759,Avus Racing,Felge,provider 17,,,,,,
1000000020571,382761,Avus Racing,Felge,provider 17,,,,,,
1000000020595,382763,Avus Racing,Felge,provider 17,,,,,,
1000000020885,425618,Damina Performance,Felge,provider 17,,,,,,
1000000020908,425620,Damina Performance,Felge,provider 17,,,,,,
1000000020939,425623,Damina Performance,Felge,provider 17,,,,,,
1000000021257,382510,Avus Racing,Felge,provider 17,,,,,,
1000000021301,382511,Avus Racing,Felge,provider 17,,,,,,
1000000021332,382517,Avus Racing,Felge,provider 17,,,,,,
1000000021547,382282,Avus Racing,Felge,provider 17,,,,,,
1000000021769,586827,Avus Racing,Felge,provider 17,,,,,,
1000000021813,382625,Avus Racing,Felge,provider 17,,,,,,
1000000021844,382626,Avus Racing,Felge,provider 17,,,,,,
1000000021851,382627,Avus Racing,Felge,provider 17,,,,,,
1000000022742,382504,Avus Racing,Felge,provider 17,,,,,,
1000000022827,382754,Avus Racing,Felge,provider 17,,,,,,
1000000022896,382778,Avus Racing,Felge,provider 17,,,,,,
1000000022964,382808,Avus Racing,Felge,provider 17,,,,,,
1000000022988,382820,Avus Racing,Felge,provider 17,,,,,,
1000000022995,382826,Avus Racing,Felge,provider 17,,,,,,
1000000023022,382752,Avus Racing,Felge,provider 17,,,,,,
1000000023077,382776,Avus Racing,Felge,provider 17,,,,,,
1000000023121,382806,Avus Racing,Felge,provider 17,,,,,,
1000000023138,382812,Avus Racing,Felge,provider 17,,,,,,
1000000023145,382818,Avus Racing,Felge,provider 17,,,,,,
1000000023152,382824,Avus Racing,Felge,provider 17,,,,,,
1000000023626,425686,Damina Performance,Felge,provider 17,,,,,,
1000000023695,425662,Damina Performance,Felge,provider 17,,,,,,
1000000024166,586730,Avus Racing,Felge,provider 17,,,,,,
1000000024388,586711,Avus Racing,Felge,provider 17,,,,,,
1000000024470,586741,Avus Racing,Felge,provider 17,,,,,,
1000000024579,586769,Avus Racing,Felge,provider 17,,,,,,
1000000024661,586615,Avus Racing,Felge,provider 17,,,,,,
1000000024678,586616,Avus Racing,Felge,provider 17,,,,,,
1000000025002,586884,Avus Racing,Felge,provider 17,,,,,,
1000000025019,586885,Avus Racing,Felge,provider 17,,,,,,
1000000025064,586854,Avus Racing,Felge,provider 17,,,,,,
1000000025088,586857,Avus Racing,Felge,provider 17,,,,,,
1000000025125,586851,Avus Racing,Felge,provider 17,,,,,,
1000000025972,586651,Avus Racing,Felge,provider 17,,,,,,
1000000026009,586660,Avus Racing,Felge,provider 17,,,,,,
1000000026016,586661,Avus Racing,Felge,provider 17,,,,,,
1000000026023,586662,Avus Racing,Felge,provider 17,,,,,,
1000000026146,586574,Avus Racing,Felge,provider 17,,,,,,
1000000026153,586580,Avus Racing,Felge,provider 17,,,,,,
1000000026245,586581,Avus Racing,Felge,provider 17,,,,,,
1000000026252,586582,Avus Racing,Felge,provider 17,,,,,,
1000000026269,586583,Avus Racing,Felge,provider 17,,,,,,
1000000026283,586585,Avus Racing,Felge,provider 17,,,,,,
1000000026290,586575,Avus Racing,Felge,provider 17,,,,,,
1000000026313,586577,Avus Racing,Felge,provider 17,,,,,,
1000000026320,586578,Avus Racing,Felge,provider 17,,,,,,
1000000026344,586579,Avus Racing,Felge,provider 17,,,,,,
1000000027518,586617,Avus Racing,Felge,provider 17,,,,,,
1000000027525,586618,Avus Racing,Felge,provider 17,,,,,,
1000000028423,586716,Avus Racing,Felge,provider 17,,,,,,
1000000028478,586568,Avus Racing,Felge,provider 17,,,,,,
1000000028515,586569,Avus Racing,Felge,provider 17,,,,,,
1000000028539,586571,Avus Racing,Felge,provider 17,,,,,,
1000000028546,586572,Avus Racing,Felge,provider 17,,,,,,
1000000028713,586622,Avus Racing,Felge,provider 17,,,,,,
1000000028843,586818,Avus Racing,Felge,provider 17,,,,,,
1000000029512,586764,Avus Racing,Felge,provider 17,,,,,,
1000000029598,586823,Avus Racing,Felge,provider 17,,,,,,
1000000029864,598752,Avus Racing,Felge,provider 17,,,,,,
1000000029871,598714,Avus Racing,Felge,provider 17,,,,,,
1000000029925,598784,Avus Racing,Felge,provider 17,,,,,,
1000000029932,598785,Avus Racing,Felge,provider 17,,,,,,
1000000029970,598771,Avus Racing,Felge,provider 17,,,,,,
1000000029987,598776,Avus Racing,Felge,provider 17,,,,,,
1000000029994,598777,Avus Racing,Felge,provider 17,,,,,,
1000000030006,598755,Avus Racing,Felge,provider 17,,,,,,
1000000030013,598756,Avus Racing,Felge,provider 17,,,,,,
1000000030020,598758,Avus Racing,Felge,provider 17,,,,,,
1000000030037,598759,Avus Racing,Felge,provider 17,,,,,,
1000000030044,598765,Avus Racing,Felge,provider 17,,,,,,
1000000030068,598767,Avus Racing,Felge,provider 17,,,,,,
1000000030136,598713,Avus Racing,Felge,provider 17,,,,,,
1000000030143,598716,Avus Racing,Felge,provider 17,,,,,,
1000000030167,598717,Avus Racing,Felge,provider 17,,,,,,
