ean,product_id,manufacturer,article_type,provider,tyre_width,tyre_aspect_ratio,tyre_construction,tyre_diameter,tyre_load_index,tyre_speed_index,tyre_tread,tyre_tt_tl,rim_width,rim_diameter,rim_offset,rim_color,rim_load_index,rim_speed_index
3528703589785,73907483,MICHELIN,Reifen,provider 16,235,50,R,18,,,ALPIN 7 XL 3PMSF,,,,,,,
3528703638896,70011945,MICHELIN,Reifen,provider 16,225,40,R,18,,,CROSS CLIMATE 2 XL 3PMSF,,,,,,,
3528703714026,70011409,MICHELIN,Reifen,provider 16,215,65,R,16C,107,,AGILIS 3,,,,,,,
3528704001897,70012171,MICHELIN,Reifen,provider 16,235,40,R,19,,Z,PIL.SPT 5 XL,,,,,,,
3528704196302,70011911,MICHELIN,Reifen,provider 16,205,50,R,17,,,CROSS CLIMATE 2 XL 3PMSF,,,,,,,
3528704282289,70012121,MICHELIN,Reifen,provider 16,215,55,R,17,,,PRIMACY 4+,,,,,,,
3528704792504,70011935,MICHELIN,Reifen,provider 16,215,60,R,16,,,CROSS CLIMATE 2 XL 3PMSF,,,,,,,
3528704854097,70010793,MICHELIN,Reifen,provider 16,195,70,R,15C,102,,AGILIS CROSS CLIMATE 3PMSF M,,,,,,,
3528705526672,70010853,MICHELIN,Reifen,provider 16,215,70,R,15C,107,,AGILIS CROSS CLIMATE 3PMSF M,,,,,,,
3528705580094,73907599,MICHELIN,Reifen,provider 16,205,55,R,16,,,PRIMACY 5 XLRG,,,,,,,
3528706015809,73907454,MICHELIN,Reifen,provider 16,215,50,R,19,,,ALPIN 7 3PMSF,,,,,,,
3528706038013,70010826,MICHELIN,Reifen,provider 16,205,65,R,16C,105,,AGILIS CROSS CLIMATE 3PMSF M,,,,,,,
3528706160370,70012201,MICHELIN,Reifen,provider 16,245,45,R,19,,Z,PIL.SPT 5 XL,,,,,,,
3528706234576,70011082,MICHELIN,Reifen,provider 16,275,45,R,20,,,PIL.SPT 4 SUV XL,,,,,,,
3528706330803,73907480,MICHELIN,Reifen,provider 16,235,45,R,18,,,ALPIN 7 XLRG 3PMSF,,,,,,,
3528706556784,73907474,MICHELIN,Reifen,provider 16,225,55,R,17,,,ALPIN 7 3PMSF,,,,,,,
3528706582820,70012106,MICHELIN,Reifen,provider 16,205,60,R,16,,,PRIMACY 4+ XL,,,,,,,
3528706599323,70011915,MICHELIN,Reifen,provider 16,205,55,R,16,,,CROSS CLIMATE 2 3PMSF,,,,,,,
3528706627804,70011324,MICHELIN,Reifen,provider 16,225,45,R,17,,,PRIMACY 4 XL*,,,,,,,
3528707023865,70011640,MICHELIN,Reifen,provider 16,255,45,R,20,,,PIL.ALP. 5 SUV XL 3PMSF,,,,,,,
3528707101013,73907479,MICHELIN,Reifen,provider 16,225,65,R,17,,,ALPIN 7 XL 3PMSF,,,,,,,
3528707295651,70012135,MICHELIN,Reifen,provider 16,225,45,R,17,,,PRIMACY 4+,,,,,,,
3528707640697,70011933,MICHELIN,Reifen,provider 16,215,55,R,17,,,CROSS CLIMATE 2 3PMSF,,,,,,,
3528707761828,70012568,MICHELIN,Reifen,provider 16,255,45,R,19,,,CROSS CLIMATE 2 XL 3PMSF,,,,,,,
3528707828224,70011937,MICHELIN,Reifen,provider 16,215,60,R,16,,,CROSS CLIMATE 2 XL 3PMSF,,,,,,,
3528708149564,70009831,MICHELIN,Reifen,provider 16,185,55,R,15,,,CROSS CLIMATE+ XL,,,,,,,
3528708215740,70008699,MICHELIN,Reifen,provider 16,255,45,R,19,,,PILOT ALPIN PA4 EL,,,,,,,
3528708311497,73907468,MICHELIN,Reifen,provider 16,225,45,R,17,,,ALPIN 7 XLRG 3PMSF,,,,,,,
3528708706651,73907459,MICHELIN,Reifen,provider 16,215,55,R,18,,,ALPIN 7 XL 3PMSF,,,,,,,
3528708753273,73907591,MICHELIN,Reifen,provider 16,205,45,R,17,,,PRIMACY 5 XLRG,,,,,,,
3528708773189,73907600,MICHELIN,Reifen,provider 16,205,55,R,16,,,PRIMACY 5 RG,,,,,,,
3528708947740,70011977,MICHELIN,Reifen,provider 16,245,40,R,18,,,CROSS CLIMATE 2 XL 3PMSF,,,,,,,
3528708958401,73907622,MICHELIN,Reifen,provider 16,215,60,R,16,,,PRIMACY 5 XL,,,,,,,
