ean,product_id,manufacturer,article_type,source_file,tyre_width,tyre_aspect_ratio,tyre_construction,tyre_diameter,tyre_load_index,tyre_speed_index,tyre_tread,tyre_tt_tl,provider,rim_width,rim_diameter,rim_offset,rim_color,rim_load_index,rim_speed_index
8807622221125,240002350,NEXEN,Reifen,09.csv,215,70,R,16,,,N BLUE 4SEASON 2 3PMSF,,09,,,,,,
8807622221132,240002336,NEXEN,Reifen,09.csv,215,45,R,18,,Z,N BLUE 4SEASON 2 XL 3P,,09,,,,,,
8807622221156,240002355,NEXEN,Reifen,09.csv,225,50,R,18,,Z,N BLUE 4SEASON 2 XL 3P,,09,,,,,,
8807622221170,240002325,NEXEN,Reifen,09.csv,205,50,R,17,,Z,N BLUE 4SEASON 2 XL 3P,,09,,,,,,
8807622221187,240002369,NEXEN,Reifen,09.csv,235,45,R,19,,Z,N BLUE 4SEASON 2 XL 3P,,09,,,,,,
8807622221200,240002356,NEXEN,Reifen,09.csv,225,55,R,16,,Z,N BLUE 4SEASON 2 XL 3P,,09,,,,,,
8807622221217,240002392,NEXEN,Reifen,09.csv,255,50,R,19,,Z,N BLUE 4SEASON 2 XL 3,,09,,,,,,
8807622221569,240002381,NEXEN,Reifen,09.csv,245,35,R,20,,Z,N BLUE 4SEASON 2 XL 3P,,09,,,,,,
8807622221590,240002347,NEXEN,Reifen,09.csv,215,65,R,16,,,N BLUE 4SEASON 2 3PMSF,,09,,,,,,
8807622221606,240002339,NEXEN,Reifen,09.csv,215,55,R,16,,,N BLUE 4SEASON 2 XL 3PMSF,,09,,,,,,
8807622221613,240002409,NEXEN,Reifen,09.csv,195,55,R,20,,,N BLUE 4SEASON 2 XLBS 3PMSF,,09,,,,,,
8807622221620,240002404,NEXEN,Reifen,09.csv,255,45,R,19,,Z,N BLUE 4SEASON 2 XL 3,,09,,,,,,
8807622221651,240002403,NEXEN,Reifen,09.csv,255,45,R,20,,Z,N BLUE 4SEASON 2 XL 3,,09,,,,,,
8807622222221,240002415,NEXEN,Reifen,09.csv,225,35,R,19,,Z,N BLUE 4SEASON 2 XLBS,,09,,,,,,
8807622222245,240002414,NEXEN,Reifen,09.csv,215,55,R,18,,,N BLUE 4SEASON 2 XLBS 3PMSF,,09,,,,,,
8807622222252,240002423,NEXEN,Reifen,09.csv,245,35,R,19,,Z,N BLUE 4SEASON 2 XLBS,,09,,,,,,
8807622222764,240002434,NEXEN,Reifen,09.csv,275,30,R,20,,Z,N BLUE 4SEASON 2 XLBS,,09,,,,,,
8807622223563,240002461,NEXEN,Reifen,09.csv,275,30,R,20,,Z,N FERA SPORT XL,,09,,,,,,
8807622223730,240002412,NEXEN,Reifen,09.csv,215,45,R,18,,Z,N FERA SPORT XLBS,,09,,,,,,
8807622223754,240002432,NEXEN,Reifen,09.csv,265,40,R,21,,Z,N FERA SPORT XLBS,,09,,,,,,
8807622223778,240002454,NEXEN,Reifen,09.csv,255,30,R,20,,Z,N FERA SPORT XL,,09,,,,,,
8807622223853,240002447,NEXEN,Reifen,09.csv,205,40,R,18,,Z,N FERA SPORT XL,,09,,,,,,
8807622223921,240002418,NEXEN,Reifen,09.csv,225,45,R,19,,Z,N FERA SPORT XLBS,,09,,,,,,
8807622223969,240002453,NEXEN,Reifen,09.csv,245,40,R,21,,Z,N FERA SPORT XL,,09,,,,,,
8807622224027,240002410,NEXEN,Reifen,09.csv,195,55,R,20,,,N FERA SPORT XLBS,,09,,,,,,
8807622224034,240002422,NEXEN,Reifen,09.csv,245,30,R,20,,Z,N FERA SPORT XLBS,,09,,,,,,
8807622225062,240002705,NEXEN,Reifen,09.csv,225,65,R,17,,,N BLUE 4SEASON 2 XLBS 3PMSF,,09,,,,,,
8807622225178,240002672,NEXEN,Reifen,09.csv,205,50,R,17,,,N BLUE 4SEASON 2 XLBSRPB 3PM,,09,,,,,,
8807622225482,240002692,NEXEN,Reifen,09.csv,215,60,R,17,,,N BLUE 4SEASON 2 BS 3PMSF,,09,,,,,,
8807622225499,240002687,NEXEN,Reifen,09.csv,215,55,R,17,,,N BLUE 4SEASON 2 XLBSRPB 3PM,,09,,,,,,
8807622225536,240002676,NEXEN,Reifen,09.csv,205,55,R,17,,Z,N BLUE 4SEASON 2 XLBSR,,09,,,,,,
8807622225574,240002707,NEXEN,Reifen,09.csv,235,45,R,17,,,N BLUE 4SEASON 2 XLBSRPB 3PM,,09,,,,,,
