product_id,EAN,manufacturer,article_description,tyre_width,tyre_construction,tyre_diameter,tyre_load_index,tyre_speed_index,tyre_tread,stock,price,DOT,DEMO
TYRE-T9D37BEE4A371,6953913172941,MIRAGE,215/60 R 16 XL TL 99H MR-762 AS BSW M+S 3PMSF,215,60,16,99,H,MR-762 AS,20,71.85,,
TYRE-T9DC941D0C590,6924064100831,LANVIGATOR,265/65 R 17 TL 112H PERFORMAX H/T +S BSW,265,65,17,112,H,PERFORMAX H/T,12,93.65,,
TYRE-TA6C41AFAE142,8605068700682,LEAO,385/55 R 22.5 TL 160J/158L ATL863 20PR M+S 3PMSF LRL (SRB),385,55,22.5,160,J,ATL863,14,289.49,,
TYRE-TA9E29D84075F,6959956700325,LINGLONG,245/40 R 18 XL TL 97W GREEN-MAX BSW,245,40,18,97,W,GREEN-MAX,30,78.57,,
TYRE-TB10EB35DB3FF,5420005509035,DUNLOP,3.00 - 19 TT 49S F 14 G,3.00,,19,49,S,F 14 G,11,89.94,,
TYRE-TB9CFC74AD457,6972435766643,UNIGRIP,225/40 ZR 20 XL TL 94Y LATERAL FORCE SPORT BSW,225,40,20,94,Y,LATERAL FORCE SPORT,6,70.88,,
TYRE-TBD8D29254081,4038526352811,GOODYEAR,225/40 R 19 XL TL 93Y EAGLE F1 (ASYMMETRIC) 5 (MO) MFS,225,40,19,93,Y,EAGLE F1 (ASYMMETRIC) 5 (MO),4,138.62,,
TYRE-TC4E1A7758141,6938112602994,GOODRIDE,245/65 R 17 TL 107S RADIAL SL369 A/T BSW M+S,245,65,17,107,S,RADIAL SL369 A/T,8,91.72,,
TYRE-TC5F588BADD50,3286342297514,BRIDGESTONE,225/60 R 18 XL TL 104V WEATHER CONTROL A005 FORD KUGA (C482) M+S 3PMSF LHD,225,60,18,104,V,WEATHER CONTROL A005,50,115.65,,
TYRE-TCBDB648D561A,8714692504747,VREDESTEIN,215/55 R 18 XL TL 99V ULTRAC FSL BSW,215,55,18,99,V,ULTRAC,4,103.83,,
TYRE-TCD540610994B,6932877137289,GT-RADIAL,215/55 R 18 XL TL  99V 4SEASONS SUV BSW M+S 3PMSF (CHN),215,55,18,99,V,4SEASONS SUV,37,81.97,,
TYRE-TEC3131BF1AD4,4981910519126,TOYO,215/40 R 16 XL TL 86W PROXES TR1,215,40,16,86,W,PROXES TR1,31,63.18,,
TYRE-TF04315F6E1D5,8807622211409,NEXEN,225/55 R 18 XL TL 102V N BLUE 4SEASON BSW M+S 3PMSF,225,55,18,102,V,N BLUE 4SEASON,20,81.79,,
TYRE-R004F32CCE5E5,1000000439663,AVUS RACING,9.0Jx20 H2 ET25 5x112x66.6 AF20 matt anthracite polished Audi RL:875kg,9.0,,20,,,,22,222.76,,
TYRE-R0FF6E7A8EA0A,4026569044787,AEZ,8.0Jx18 H2 ET40 5x112x66.6 PORTO DARK gunmetal/front-polished,8.0,,18,,,,20,215.32,,
TYRE-R1015D4186811,4251713252392,DIEWE,9.0Jx20 H2 ET35 5x112x66.6 IMPATTO neroS RL:940kg,9.0,,20,,,,40,187.02,,
TYRE-R2FB7D82DFCED,8057592646835,ETABETA,8.0Jx18 H2 ET50 5x160x65.1 COMBAT CV silber RL:1015kg,8.0,,18,,,,8,401.32,,
TYRE-R2FF8F9A5786C,8030580890267,MAK,8.0Jx18 H2 ET40 5x112x66.6 ARROW gloss black mirror,8.0,,18,,,,20,177.32,,
TYRE-R37200D72AB1A,4026569280222,DEZENT,7.0Jx16 H2 ET40 5x114.3x71.6 DEZENT TY GRAPHITE graphit matt,7.0,,16,,,,50,90.85,,
TYRE-R527C36C0A782,4051665018899,BORBET,10.5Jx21 H2 ET40 5x114.3x66.1 DESIGN CW3 sterlingsilber RL:1000kg,10.5,,21,,,,40,255.95,,
TYRE-R5B39D356611A,8027529173710,OZ,7.0Jx17 H2 ET35 4x98x58.06 RALLY RACING gloss black + silver lettering RL:615kg,7.0,,17,,,,12,233.17,,
TYRE-R6730D571BF76,4051665051667,BORBET,8.0Jx19 H2 ET43 5x112x66.5 DESIGN Z dark grey matt RL:760kg,8.0,,19,,,,40,162.25,,
TYRE-R6DBCF8BDB943,4250996341045,RC-DESIGN,8.0Jx19 H2 ET50 5x112x57.1 RC34 schwarz glanz (sg) V7 RL:700kg,8.0,,19,,,,20,164.92,,
TYRE-R6FAC539B90A5,4026569079550,DEZENT,8.0Jx18 H2 ET35 6x139.7x67.1 DEZENT KC BLACK black,8.0,,18,,,,40,207.12,,
TYRE-R75791F567D6B,4250390931743,OXXO WHEELS,7.5Jx18 H2 ET30 5x112x66.6 FEROX-5 silber B3 RL:800kg,7.5,,18,,,,50,107.90,,
TYRE-R794C842B4E5B,4059771009831,RIAL,8.0Jx19 H2 ET30 5x112x66.5 X10 racingschwarz RL:825kg,8.0,,19,,,,40,147.65,,
TYRE-RDC34222430EC,8002000057734,GMP,7.0Jx17 H2 ET35 5x100x57.1 MENTOR black diamond RL:750kg,7.0,,17,,,,50,143.40,,
TYRE-RE204D398613E,1000000029871,AVUS RACING,7.5Jx17 H2 ET45 5x108x73.1 AC-518 hyper silver MERCEDES RL:690kg,7.5,,17,,,,21,130.18,,
TYRE-RE3BB0DC6847B,8027529124644,OZ,8.0Jx19 H2 ET33 5x110x65.06 LEGGERA HLT gloss black RL:660kg,8.0,,19,,,,12,434.51,,
TYRE-RE88D14A131BF,4017222969486,DIEWE,8.0Jx18 H2 ET45 5x114.3x73.1 ASTRAL schwarz glÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚Â¤nzend RL:750kg,8.0,,18,,,,10,153.09,,
TYRE-REBCC793B99B5,8030580285582,MAK,7.0Jx17 H2 ET48 5x100x56.1 ZENITH gloss black,7.0,,17,,,,20,140.73,,
TYRE-T0592184AC672,6959956786152,STAR PERFORMER,165/65 R 14 TL 79T SOLAR 4S BSW M+S 3PMSF,165,65,14,79,T,SOLAR 4S,48,28.99,,
TYRE-T0F41E64DC65D,8714692810572,VREDESTEIN,205/55 R 19 XL TL 97V QUATRAC PRO+ FSL BSW M+S 3PMSF,205,55,19,97,V,QUATRAC PRO+,50,100.61,,
TYRE-T0FFF63ECFAA1,4981910562344,TOYO,185/60 R 14 TL 82H PROXES COMFORT BSW,185,60,14,82,H,PROXES COMFORT,40,60.92,,
TYRE-T1158DF7E0D9A,5420068696215,MINERVA,225/35 R 19 XL TL 88V FROSTRACK UHP M+S 3PMSF,225,35,19,88,V,FROSTRACK UHP,5,69.40,,
TYRE-T14F44D9C6D91,3528705573164,SEBRING,225/60 R 18 TL 104V FORMULA 4X4 ROAD+ (701),225,60,18,104,V,FORMULA 4X4 ROAD+ (701),10,108.92,,
TYRE-T16B5729EE9C3,4038526059819,SAVA,215/75 R 17.5 TL 135/133J CARGO 4 18PR M+S 3PMSF LRJ,215,75,17.5,135,J,CARGO 4,9,205.47,,
TYRE-T18D55D4C8A83,4038526086013,GOODYEAR,215/65 R 16 C TL 106/104T (102H) EFFICIENTGRIP CARGO 2 6PR BSW,215,65,16,106,T,EFFICIENTGRIP CARGO 2,25,135.11,,
TYRE-T251783A312C3,6970312178329,DOUBLESTAR,235/40 R 18 XL TL 95T WINTERKING DW02 BSW M+S 3PMSF,235,40,18,95,T,WINTERKING DW02,50,59.54,,
TYRE-T287FE733A2FC,6921109066732,NOKIAN,255/40 R 19 XL TL 100V SNOWPROOF 1 BSW M+S 3PMSF,255,40,19,100,V,SNOWPROOF 1,20,139.38,,
