product_id,manufacturer_article_number,EAN,tyre_tread,vehicle_type,tyre_width,tyre_aspect_ratio,tyre_diameter,tyre_load_index,tyre_speed_index,season,ec_vehicle,runflat,fuel_effeciency,wet_grip,rolling_resistance,noise_class,c-type,eu_directive_number,stock,price,3PMSF,ms,ice grip,eprel_id
1799080,2363573,8808956610142,Ecsta Sport S PS72 XL,Ecsta Sport S PS72,315,35,20,110,Y / ZR,Summer,,FALSE,,,,,,,36,166.09,FALSE,FALSE,FALSE,
1799081,2363663,8808956610234,Ecsta Sport S PS72 XL,Ecsta Sport S PS72,305,30,20,103,Y / ZR,Summer,,FALSE,,,,,,,6,138.30,FALSE,FALSE,FALSE,
1799082,2363653,8808956610227,Ecsta Sport S PS72 XL,Ecsta Sport S PS72,305,35,20,107,Y / ZR,Summer,,FALSE,,,,,,,9,168.83,FALSE,FALSE,FALSE,
1799083,2363643,8808956610210,Ecsta Sport S PS72 XL,Ecsta Sport S PS72,295,30,20,101,Y / ZR,Summer,,FALSE,,,,,,,50,135.10,FALSE,FALSE,FALSE,
1799084,2363593,8808956610166,Ecsta Sport S PS72 XL,Ecsta Sport S PS72,295,35,20,105,Y / ZR,Summer,,FALSE,,,,,,,7,136.43,FALSE,FALSE,FALSE,
1799085,2349433,8808956373948,Ecsta Sport S PS72 XL,Ecsta Sport S PS72,285,30,20,99,Y / ZR,Summer,,FALSE,,,,,,,3,126.27,FALSE,FALSE,FALSE,
1799086,2349443,8808956373955,Ecsta Sport S PS72 XL,Ecsta Sport S PS72,285,35,20,104,Y / ZR,Summer,C1,FALSE,C,A,75,B,,2020/740,72,131.10,FALSE,FALSE,FALSE,2066976
1799087,2349403,8808956373917,Ecsta Sport S PS72 XL,Ecsta Sport S PS72,275,30,20,97,Y / ZR,Summer,C1,FALSE,D,A,73,B,,2020/740,79,118.68,FALSE,FALSE,FALSE,2040465
1799088,2349413,8808956373924,Ecsta Sport S PS72 XL,Ecsta Sport S PS72,275,35,20,102,Y / ZR,Summer,C1,FALSE,C,A,72,B,,2020/740,40,116.24,FALSE,FALSE,FALSE,2108398
1799089,2349423,8808956373931,Ecsta Sport S PS72 XL,Ecsta Sport S PS72,275,40,20,106,Y / ZR,Summer,C1,FALSE,C,A,72,B,,2020/740,4,114.71,FALSE,FALSE,FALSE,2108399
1799090,2310823,8808956325077,Ecsta Sport S PS72 XL,Ecsta Sport S PS72,265,30,20,94,Y / ZR,Summer,C1,FALSE,D,A,72,B,,2020/740,50,126.91,FALSE,FALSE,FALSE,2108376
1799091,2349393,8808956373900,Ecsta Sport S PS72 XL,Ecsta Sport S PS72,265,35,20,99,Y / ZR,Summer,C1,FALSE,C,A,72,B,,2020/740,16,125.55,FALSE,FALSE,FALSE,2108395
1799092,2310793,8808956325046,Ecsta Sport S PS72 XL,Ecsta Sport S PS72,255,30,20,92,Y / ZR,Summer,C1,FALSE,D,A,72,B,,2020/740,100,114.28,FALSE,FALSE,FALSE,2108368
1799093,2310803,8808956325053,Ecsta Sport S PS72 XL,Ecsta Sport S PS72,255,35,20,97,Y / ZR,Summer,C1,FALSE,C,A,72,B,,2020/740,6,99.54,FALSE,FALSE,FALSE,2108370
1799094,2310813,8808956325060,Ecsta Sport S PS72 XL,Ecsta Sport S PS72,255,40,20,101,Y / ZR,Summer,C1,FALSE,C,A,72,B,,2020/740,50,110.32,FALSE,FALSE,FALSE,2108374
1799095,6302183,8808956372613,Ecsta Sport PS72 XL K-Silent,Ecsta Sport PS72,255,40,20,104,Y,Summer,C1,FALSE,C,A,73,B,,2020/740,18,147.85,FALSE,FALSE,FALSE,2076955
1799096,2347103,8808956372675,Ecsta Sport PS72 XL,Ecsta Sport PS72,255,40,20,104,Y,Summer,C1,FALSE,C,A,73,B,,2020/740,1,120.80,FALSE,FALSE,FALSE,2040311
1799097,2310763,8808956325015,Ecsta Sport S PS72 XL,Ecsta Sport S PS72,245,30,20,90,Y / ZR,Summer,C1,FALSE,D,A,72,B,,2020/740,100,111.56,FALSE,FALSE,FALSE,2040456
1799098,2349363,8808956373870,Ecsta Sport S PS72 XL,Ecsta Sport S PS72,245,35,20,95,Y / ZR,Summer,C1,FALSE,C,A,72,B,,2020/740,12,103.25,FALSE,FALSE,FALSE,2108389
1799099,2349373,8808956373887,Ecsta Sport S PS72 XL,Ecsta Sport S PS72,245,40,20,99,Y / ZR,Summer,C1,FALSE,C,A,72,B,,2020/740,16,108.21,FALSE,FALSE,FALSE,2108392
1799100,2363253,8808956609801,Ecsta Sport PS72 XL,Ecsta Sport PS72,245,45,20,103,Y / ZR,Summer,C1,FALSE,C,A,71,B,,2020/740,42,114.90,FALSE,FALSE,FALSE,2113136
1799101,6303413,8808956621636,Ecsta Sport PS72 XL K-Silent,Ecsta Sport PS72,245,45,20,103,Y / ZR,Summer,,FALSE,,,,,,,32,135.23,FALSE,FALSE,FALSE,
1799102,2349343,8808956373856,Ecsta Sport S PS72 XL,Ecsta Sport S PS72,235,30,20,88,Y / ZR,Summer,C1,FALSE,D,A,72,B,,2020/740,40,110.61,FALSE,FALSE,FALSE,2108383
1799103,2349353,8808956373863,Ecsta Sport S PS72 XL,Ecsta Sport S PS72,235,35,20,92,Y / ZR,Summer,C1,FALSE,C,A,72,B,,2020/740,50,98.58,FALSE,FALSE,FALSE,2166952
1799104,2310733,8808956324988,Ecsta Sport S PS72 XL,Ecsta Sport S PS72,225,35,20,90,Y / ZR,Summer,C1,FALSE,C,A,72,B,,2020/740,50,97.57,FALSE,FALSE,FALSE,2040452
1799105,2363613,8808956610180,Ecsta Sport S PS72 XL,Ecsta Sport S PS72,295,40,19,108,Y / ZR,Summer,,FALSE,,,,,,,16,131.80,FALSE,FALSE,FALSE,
1799106,2349323,8808956373832,Ecsta Sport S PS72 XL,Ecsta Sport S PS72,285,30,19,98,Y / ZR,Summer,,FALSE,,,,,,,20,79.85,FALSE,FALSE,FALSE,
1799107,2363603,8808956610173,Ecsta Sport S PS72 XL,Ecsta Sport S PS72,285,35,19,103,Y / ZR,Summer,,FALSE,,,,,,,20,128.95,FALSE,FALSE,FALSE,
1799108,2349293,8808956373801,Ecsta Sport S PS72 XL,Ecsta Sport S PS72,275,30,19,96,Y / ZR,Summer,C1,FALSE,C,A,73,B,,2020/740,17,107.09,FALSE,FALSE,FALSE,2040464
1799109,2363623,8808956610197,Ecsta Sport S PS72 XL,Ecsta Sport S PS72,275,35,19,100,Y / ZR,Summer,,FALSE,,,,,,,40,110.51,FALSE,FALSE,FALSE,
1799110,2363243,8808956609795,Ecsta Sport PS72 XL,Ecsta Sport PS72,275,40,19,105,Y / ZR,Summer,C1,FALSE,C,A,73,B,,2020/740,50,109.58,FALSE,FALSE,FALSE,2113133
1799111,2363633,8808956610203,Ecsta Sport S PS72 XL,Ecsta Sport S PS72,265,30,19,93,Y / ZR,Summer,,FALSE,,,,,,,8,106.72,FALSE,FALSE,FALSE,
1799112,2349283,8808956373795,Ecsta Sport S PS72 XL,Ecsta Sport S PS72,265,35,19,98,Y / ZR,Summer,C1,FALSE,C,A,72,B,,2020/740,74,117.77,FALSE,FALSE,FALSE,2108378
1799113,2310683,8808956324933,Ecsta Sport S PS72 XL,Ecsta Sport S PS72,265,40,19,102,Y / ZR,Summer,C1,FALSE,C,A,72,B,,2020/740,18,105.90,FALSE,FALSE,FALSE,2108358
1799115,2349243,8808956373757,Ecsta Sport S PS72 XL,Ecsta Sport S PS72,255,30,19,91,Y / ZR,Summer,,FALSE,,,,,,,1,116.57,FALSE,FALSE,FALSE,
1799116,2310643,8808956324896,Ecsta Sport S PS72 XL,Ecsta Sport S PS72,255,35,19,96,Y / ZR,Summer,C1,FALSE,D,A,72,B,,2020/740,17,94.82,FALSE,FALSE,FALSE,2116166
1799117,2364723,8808956611767,Ecsta Sport PS72 XL,Ecsta Sport PS72,255,35,19,96,Y / ZR,Summer,,FALSE,,,,,,,20,79.85,FALSE,FALSE,FALSE,
1799118,2310653,8808956324902,Ecsta Sport S PS72 XL,Ecsta Sport S PS72,255,40,19,100,Y / ZR,Summer,C1,FALSE,C,A,72,B,,2020/740,20,79.85,FALSE,FALSE,FALSE,2108352
1799119,6303403,8808956621605,Ecsta Sport PS72 XL K-Silent,Ecsta Sport PS72,255,45,19,104,Y / ZR,Summer,,FALSE,,,,,,,50,138.73,FALSE,FALSE,FALSE,
1799120,2364743,8808956611781,Ecsta Sport PS72 XL,Ecsta Sport PS72,255,45,19,104,Y / ZR,Summer,,FALSE,,,,,,,20,107.61,FALSE,FALSE,FALSE,
1799121,2349203,8808956373719,Ecsta Sport S PS72 XL,Ecsta Sport S PS72,245,30,19,89,Y / ZR,Summer,,FALSE,,,,,,,19,103.11,FALSE,FALSE,FALSE,
1799122,2310623,8808956324872,Ecsta Sport S PS72 XL,Ecsta Sport S PS72,245,35,19,93,Y / ZR,Summer,C1,FALSE,D,A,72,B,,2020/740,70,100.96,FALSE,FALSE,FALSE,2040444
1799123,2349213,8808956373726,Ecsta Sport PS72 XL,Ecsta Sport PS72,245,35,19,93,Y / ZR,Summer,C1,FALSE,D,A,71,B,,2020/740,100,96.05,FALSE,FALSE,FALSE,2111010
1799124,2364783,8808956611828,Ecsta Sport PS72 XL,Ecsta Sport PS72,245,40,19,98,Y / ZR,Summer,,FALSE,,,,,,,50,90.70,FALSE,FALSE,FALSE,
1799125,6303363,8808956621759,Ecsta Sport PS72 XL K-Silent,Ecsta Sport PS72,245,40,19,98,Y / ZR,Summer,,FALSE,,,,,,,50,84.99,FALSE,FALSE,FALSE,
1799126,2363403,8808956609962,Ecsta Sport PS72 XL,Ecsta Sport PS72,245,45,19,102,Y / ZR,Summer,,FALSE,,,,,,,50,95.93,FALSE,FALSE,FALSE,
1799127,6303353,8808956621728,Ecsta Sport PS72 XL K-Silent,Ecsta Sport PS72,245,45,19,102,Y / ZR,Summer,,FALSE,,,,,,,38,118.21,FALSE,FALSE,FALSE,
1799128,2310603,8808956324858,Ecsta Sport S PS72 XL,Ecsta Sport S PS72,235,35,19,91,Y / ZR,Summer,C1,FALSE,D,A,72,B,,2020/740,1,91.01,FALSE,FALSE,FALSE,2040443
1799129,2364773,8808956611811,Ecsta Sport PS72 XL,Ecsta Sport PS72,235,35,19,91,Y / ZR,Summer,,FALSE,,,,,,,72,84.95,FALSE,FALSE,FALSE,
1799130,2364843,8808956611880,Ecsta Sport PS72 XL,Ecsta Sport PS72,235,40,19,96,Y / ZR,Summer,,FALSE,,,,,,,8,94.98,FALSE,FALSE,FALSE,
1799131,6303383,8808956621810,Ecsta Sport PS72 XL K-Silent,Ecsta Sport PS72,235,40,19,96,Y / ZR,Summer,,FALSE,,,,,,,50,115.53,FALSE,FALSE,FALSE,
1799132,2310583,8808956324834,Ecsta Sport S PS72 XL,Ecsta Sport S PS72,225,35,19,88,Y / ZR,Summer,C1,FALSE,D,A,72,B,,2020/740,100,80.60,FALSE,FALSE,FALSE,2040379
1799133,2310593,8808956324841,Ecsta Sport S PS72 XL,Ecsta Sport S PS72,225,40,19,93,Y / ZR,Summer,C1,FALSE,C,A,72,B,,2020/740,85,101.34,FALSE,FALSE,FALSE,2040380
1799134,2364753,8808956611798,Ecsta Sport PS72 XL,Ecsta Sport PS72,225,40,19,93,Y / ZR,Summer,C1,FALSE,C,A,72,B,,2020/740,100,91.36,FALSE,FALSE,FALSE,2166957
1799135,2363193,8808956609740,Ecsta Sport PS72 XL,Ecsta Sport PS72,225,45,19,96,Y / ZR,Summer,C1,FALSE,C,A,71,B,,2020/740,50,95.25,FALSE,FALSE,FALSE,2166380
1799136,2364713,8808956611750,Ecsta Sport PS72 XL,Ecsta Sport PS72,275,40,18,103,Y / ZR,Summer,,FALSE,,,,,,,8,110.30,FALSE,FALSE,FALSE,
1799137,2349143,8808956373658,Ecsta Sport S PS72 XL,Ecsta Sport S PS72,265,35,18,97,Y / ZR,Summer,C1,FALSE,C,A,73,B,,2020/740,38,90.63,FALSE,FALSE,FALSE,2040459
1799138,2364833,8808956611873,Ecsta Sport PS72 XL,Ecsta Sport PS72,255,35,18,94,Y / ZR,Summer,,FALSE,,,,,,,100,78.04,FALSE,FALSE,FALSE,
1799139,2364813,8808956611859,Ecsta Sport PS72 XL,Ecsta Sport PS72,255,40,18,99,Y / ZR,Summer,,FALSE,,,,,,,8,94.72,FALSE,FALSE,FALSE,
1799140,2364793,8808956611835,Ecsta Sport PS72 XL,Ecsta Sport PS72,255,45,18,103,Y / ZR,Summer,,FALSE,,,,,,,100,90.97,FALSE,FALSE,FALSE,
1799141,2364823,8808956611866,Ecsta Sport PS72 XL,Ecsta Sport PS72,245,35,18,92,Y / ZR,Summer,,FALSE,,,,,,,20,76.83,FALSE,FALSE,FALSE,
1799142,2363213,8808956609764,Ecsta Sport PS72 XL,Ecsta Sport PS72,245,40,18,97,Y / ZR,Summer,C1,FALSE,C,A,72,B,,2020/740,3,69.40,FALSE,FALSE,FALSE,2111024
1799143,2363393,8808956609955,Ecsta Sport PS72 XL,Ecsta Sport PS72,245,45,18,100,Y / ZR,Summer,C1,FALSE,C,A,72,B,,2020/740,1,77.06,FALSE,FALSE,FALSE,2113147
1799144,6303343,8808956621698,Ecsta Sport PS72 XL K-Silent,Ecsta Sport PS72,245,45,18,100,Y / ZR,Summer,,FALSE,,,,,,,20,78.26,FALSE,FALSE,FALSE,
1799145,2364763,8808956611804,Ecsta Sport PS72 XL,Ecsta Sport PS72,245,50,18,104,Y / ZR,Summer,,FALSE,,,,,,,50,90.52,FALSE,FALSE,FALSE,
1799146,2363423,8808956609986,Ecsta Sport PS72 XL,Ecsta Sport PS72,235,40,18,95,Y / ZR,Summer,C1,FALSE,C,A,72,B,,2020/740,18,67.80,FALSE,FALSE,FALSE,2166955
1799147,2363413,8808956609979,Ecsta Sport PS72 XL,Ecsta Sport PS72,235,45,18,98,Y / ZR,Summer,C1,FALSE,C,A,72,B,,2020/740,100,81.58,FALSE,FALSE,FALSE,2113149
1799148,6303373,8808956621780,Ecsta Sport PS72 XL K-Silent,Ecsta Sport PS72,235,45,18,98,Y / ZR,Summer,,FALSE,,,,,,,8,94.10,FALSE,FALSE,FALSE,
1799149,2364803,8808956611842,Ecsta Sport PS72 XL,Ecsta Sport PS72,235,50,18,101,Y / ZR,Summer,,FALSE,,,,,,,50,80.08,FALSE,FALSE,FALSE,
1799150,2328533,8808956351618,Ecsta Sport S PS72 XL,Ecsta Sport S PS72,225,40,18,92,Y / ZR,Summer,C1,FALSE,C,A,72,B,,2020/740,1,57.37,FALSE,FALSE,FALSE,2040474
1799151,2363203,8808956609757,Ecsta Sport PS72 XL,Ecsta Sport PS72,225,40,18,92,Y / ZR,Summer,C1,FALSE,C,A,72,B,,2020/740,50,55.52,FALSE,FALSE,FALSE,2111023
1799152,2363173,8808956609726,Ecsta Sport PS72 XL,Ecsta Sport PS72,225,45,18,95,Y / ZR,Summer,C1,FALSE,C,A,72,B,,2020/740,50,77.81,FALSE,FALSE,FALSE,2111021
1799153,6303333,8808956621667,Ecsta Sport PS72 XL K-Silent,Ecsta Sport PS72,225,45,18,95,Y / ZR,Summer,,FALSE,,,,,,,70,111.63,FALSE,FALSE,FALSE,
1799155,2363353,8808956609917,Ecsta Sport PS72 XL,Ecsta Sport PS72,215,40,18,89,Y / ZR,Summer,C1,FALSE,C,A,72,B,,2020/740,1,73.04,FALSE,FALSE,FALSE,2113137
1799156,2363153,8808956609702,Ecsta Sport PS72 XL,Ecsta Sport PS72,215,45,18,93,Y / ZR,Summer,C1,FALSE,C,A,72,B,,2020/740,54,76.09,FALSE,FALSE,FALSE,2111019
1799157,2362833,8808956609245,Ecsta Sport PS72 XL,Ecsta Sport PS72,205,40,18,86,Y / ZR,Summer,C1,FALSE,D,A,72,B,,2020/740,4,79.05,FALSE,FALSE,FALSE,2111014
1799158,2363383,8808956609948,Ecsta Sport PS72 XL,Ecsta Sport PS72,245,40,17,95,Y / ZR,Summer,C1,FALSE,C,A,72,B,,2020/740,50,71.95,FALSE,FALSE,FALSE,2113143
1799159,2363183,8808956609733,Ecsta Sport PS72 XL,Ecsta Sport PS72,245,45,17,99,Y / ZR,Summer,C1,FALSE,C,A,72,B,,2020/740,100,74.97,FALSE,FALSE,FALSE,2111022
1799160,2363373,8808956609931,Ecsta Sport PS72 XL,Ecsta Sport PS72,235,55,17,103,Y / ZR,Summer,C1,FALSE,C,A,72,B,,2020/740,20,77.14,FALSE,FALSE,FALSE,2113142
1799161,2348923,8808956373535,Ecsta Sport PS72,Ecsta Sport PS72,225,45,17,91,Y / ZR,Summer,,FALSE,,,,,,,1,52.09,FALSE,FALSE,FALSE,
1799162,2363223,8808956609771,Ecsta Sport PS72 XL,Ecsta Sport PS72,225,45,17,94,Y / ZR,Summer,C1,FALSE,C,A,72,B,,2020/740,46,54.23,FALSE,FALSE,FALSE,2113130
1799163,2363163,8808956609719,Ecsta Sport PS72 XL,Ecsta Sport PS72,225,50,17,98,Y / ZR,Summer,C1,FALSE,C,A,72,B,,2020/740,17,68.56,FALSE,FALSE,FALSE,2111020
1799164,2363363,8808956609924,Ecsta Sport PS72 XL,Ecsta Sport PS72,225,55,17,101,Y / ZR,Summer,C1,FALSE,C,A,72,B,,2020/740,11,71.26,FALSE,FALSE,FALSE,2113141
1799165,2363143,8808956609696,Ecsta Sport PS72 XL,Ecsta Sport PS72,215,45,17,91,Y / ZR,Summer,C1,FALSE,C,A,72,B,,2020/740,27,59.82,FALSE,FALSE,FALSE,2111018
1799166,2363443,8808956610005,Ecsta Sport PS72 XL,Ecsta Sport PS72,205,40,17,84,Y / ZR,Summer,,FALSE,,,,,,,10,68.14,FALSE,FALSE,FALSE,
1799167,2363433,8808956609993,Ecsta Sport PS72 XL,Ecsta Sport PS72,205,45,17,88,Y / ZR,Summer,C1,FALSE,D,A,72,B,,2020/740,28,66.66,FALSE,FALSE,FALSE,2113152
1799168,2362843,8808956609252,Ecsta Sport PS72 XL,Ecsta Sport PS72,205,50,17,93,Y / ZR,Summer,C1,FALSE,C,A,72,B,,2020/740,50,67.15,FALSE,FALSE,FALSE,2111016
1799169,2362963,8808956609375,Ecsta HS52 XL,Ecsta HS52,195,55,16,91,V,Summer,,FALSE,,,,,,,16,72.69,FALSE,FALSE,FALSE,
1799170,6301733,8808956348991,Ecsta PS71 SUV XL K-Silent,Ecsta PS71 SUV,245,45,21,104,W,Summer,C1,FALSE,B,B,72,B,,2020/740,20,146.40,FALSE,FALSE,FALSE,2073038
1799171,6301873,8808956351410,Ecsta PS71 SUV XL K-Silent,Ecsta PS71 SUV,275,50,20,113,V,Summer,C1,FALSE,A,B,73,B,,2020/740,6,144.30,FALSE,FALSE,FALSE,2073070
1799172,2304293,8808956318284,Ecsta PS71 SUV XL,Ecsta PS71 SUV,255,45,20,105,V,Summer,C1,FALSE,B,A,73,B,,2020/740,2,132.44,FALSE,FALSE,FALSE,1534812
1799173,2304283,8808956318277,Ecsta PS71 SUV XL,Ecsta PS71 SUV,235,60,18,107,V,Summer,C1,FALSE,A,A,72,B,,2020/740,20,83.38,FALSE,FALSE,FALSE,1534809
1799174,2322483,8808956342869,Ecsta HS52 XL,Ecsta HS52,235,55,17,103,H,Summer,C1,FALSE,A,A,69,A,,2020/740,24,76.96,FALSE,FALSE,FALSE,1438218
1799175,2344323,8808956369095,Ecsta PS71 SUV XL,Ecsta PS71 SUV,235,45,20,100,V,Summer,C1,FALSE,A,A,72,B,,2020/740,16,119.37,FALSE,FALSE,FALSE,1550726
1799176,2350093,8808956374389,Solus 4S HA32 XL,Solus 4S HA32,255,40,19,100,Y / ZR,All Season,C1,FALSE,C,A,72,B,,2020/740,1,95.88,TRUE,TRUE,FALSE,2021936
1799177,2350053,8808956375089,Solus 4S HA32 XL,Solus 4S HA32,235,40,19,96,Y / ZR,All Season,C1,FALSE,C,A,72,B,,2020/740,23,97.63,TRUE,TRUE,FALSE,2029022
1799179,720073,4038526442888,Discoverer ATT XL,Discoverer ATT,265,65,17,116,H,Summer,C1,FALSE,C,C,73,B,,2020/740,25,130.68,FALSE,TRUE,FALSE,2034987
1799180,584993,4038526327963,Eagle F1 Asymmetric 3 SUV XL,Eagle F1 Asymmetric 3 SUV,245,45,20,103,V,Summer,C1,FALSE,B,B,70,B,,2020/740,12,162.47,FALSE,FALSE,FALSE,2080775
1799181,720818,4038526465856,Eagle F1 Asymmetric 3 SUV XL,Eagle F1 Asymmetric 3 SUV,255,45,21,106,V,Summer,C1,FALSE,B,B,70,A,,2020/740,8,184.32,FALSE,FALSE,FALSE,2080798
1799182,547255,5452000802026,Eagle F1 Asymmetric 3 SUV FP,Eagle F1 Asymmetric 3 SUV,235,45,20,96,V,Summer,C1,FALSE,C,B,70,B,,2020/740,8,154.05,FALSE,FALSE,FALSE,2082779
1799184,598049,4038526424310,Eagle F1 Supersport R XL N1,Eagle F1 Supersport R,255,35,20,97,Y / ZR,Summer,C1,FALSE,D,B,71,B,,2020/740,10,189.37,FALSE,FALSE,FALSE,1938932
