product_id,manufacturer_article_number,article_description,article_number,manufacturer_code,manufacturer,group ,vehicle_type,e-mark,european,tyre_width,tyre_aspect_ratio,tyre_diameter,tyre_load_index,nett-price,price,stock,EAN,internal_code,photolink,fuel_effeciency,wet_grip,noise_performance,Noise_Class,snow_grip,ice_label,eprel_id,eprel_url,wcat,article_type
468501,195 65HR 15THA32.,195/65 HR15 TL 91H  KUMHO SOLUS 4S HA32,HA32.,KU,KUMHO,29,ALL-SEASON PW,J,N,195,65,15,91H,40.4,83.1,>  20,8808956268596,2260933,https://www.etyre.net/preview/t3/ku-ha32..jpg,C,B,72,B,J,N,1508533,https://eprel.ec.europa.eu/qr/1508533,1,REIFEN
468502,185 55HR 15THA32XL.,185/55 HR15 TL 86H  KUMHO SOLUS 4S HA32 XL,HA32XL.,KU,KUMHO,29,ALL-SEASON PW,J,N,185,55,15,86H,58.6,106.6,>  20,8808956362225,2338013,https://www.etyre.net/preview/t3/ku-ha32xl..jpg,D,B,71,B,J,N,1508518,https://eprel.ec.europa.eu/qr/1508518,1,REIFEN
468503,"185 60HR 15THA32XL,",185/60 HR15 TL 88H  KUMHO SOLUS 4S HA32 XL,"HA32XL,",KU,KUMHO,29,ALL-SEASON PW,J,N,185,60,15,88H,47.9,93,>  20,8808956362171,2337963,"https://www.etyre.net/preview/t3/ku-ha32xl,.jpg",D,B,71,B,J,N,1508520,https://eprel.ec.europa.eu/qr/1508520,1,REIFEN
468539,205 75 R 16TTRANSPRO2.,205/75  R16 TL 113R KLEB TRANSPRO 2,TRANSPRO2.,KL,KLEBER,16,BESTELWAGEN BANDEN,J,J,205,75,16,113R,91.7,153.5,>  20,3528700418729,41872,https://www.etyre.net/preview/t3/kl-transpro2..jpg,B,A,72,B,N,N,1677936,https://eprel.ec.europa.eu/qr/1677936,3,REIFEN
468540,205 65 R 16TTRANSPRO2,205/65  R16 TL 107T KLEB TRANSPRO 2,TRANSPRO2,KL,KLEBER,16,BESTELWAGEN BANDEN,J,J,205,65,16,107T,88.05,150.5,>  20,3528700975819,97581,https://www.etyre.net/preview/t3/kl-transpro2.jpg,C,A,72,B,N,N,1597435,https://eprel.ec.europa.eu/qr/1597435,1,REIFEN
468556,205 40HR 18TPOTSPORTXL,205/40 HR18 TL 86H  BR POTENZA SPORT XL,POTSPORTXL,BR,BRIDGESTONE,11,LUXE BANDEN,J,J,205,40,18,86H,103.81,206,>  20,3286342854618,28546,https://www.etyre.net/preview/t3/br-potsportxl.jpg,C,A,69,A,N,N,1528838,https://eprel.ec.europa.eu/qr/1528838,1,REIFEN
468590,"205 55VR 16THA32XL,",205/55 VR16 TL 94V  KUMHO SOLUS 4S HA32 XL,"HA32XL,",KU,KUMHO,29,ALL-SEASON PW,J,N,205,55,16,94V,45.66,104.4,>  20,8808956360887,2336773,"https://www.etyre.net/preview/t3/ku-ha32xl,.jpg",C,B,72,B,J,N,1497448,https://eprel.ec.europa.eu/qr/1497448,1,REIFEN
468904,225 50WR 18TT005*XL,225/50 WR18 TL 99W  BR T005 TURANZA * XL,T005*XL,BR,BRIDGESTONE,11,LUXE BANDEN,J,J,225,50,18,99W,128.7,239,>  20,3286342176017,21760,https://www.etyre.net/preview/t3/br-t005xl.jpg,A,B,70,B,N,N,501200,https://eprel.ec.europa.eu/qr/501200,3,REIFEN
468961,195 50VR 15TNC501,195/50 VR15 TL 82V  SUNNY NC501,NC501,SY,SUNNY,29,ALL-SEASON PW,J,N,195,50,15,82V,31.65,67,>  20,6976540118069,1105154,https://www.etyre.net/preview/t3/sy-nc501.jpg,C,C,67,A,J,N,1922823,https://eprel.ec.europa.eu/qr/1922823,1,REIFEN
468963,195 45VR 16TNC501XL,195/45 VR16 TL 84V  SUNNY NC501 XL,NC501XL,SY,SUNNY,29,ALL-SEASON PW,J,N,195,45,16,84V,33.9,71.9,>  20,6976540118083,1105156,https://www.etyre.net/preview/t3/sy-nc501xl.jpg,C,C,67,B,J,N,1922888,https://eprel.ec.europa.eu/qr/1922888,1,REIFEN
